Klub;Igrač;Pozicije;Rođen
L;Zlatan Ramić;N;24.06.2001.
L;Hajdin Salihu;B;18.01.2002.
L;Krševan Santini;G;11.04.1987.
L;Nikola Soldo;B;25.01.2001.
L;Luka Stojković;N;28.10.2003.
L;Francesco Tahiraj;N;21.09.1996.
L;Inderit Tuci;N;14.09.2000.
L;Frane Vojković;V;29.12.1996.
L;Marko Vranjković;N;05.02.1999.
L;Abduolaye Yahaya;V;07.10.2001.
L;Arbin Yejnulai;V;15.02.1999.
I;Jan Paus-Kunšt;G;17.08.2001.
I;Fran Vujnović;V;23.07.2003.
I;Mihael Rovis;B;18.01.2002.
I;Antonio Siljan;V;20.12.2001.
I;David Legović;B;30.03.2002.
SP;Bruno Bogojević;DDV;29.06.1998.
SP;Antonio Bosec;DB;28.08.1997.
SP;Tomislav Božić;CV;01.11.1987.
SP;Arijan Brković;CN;03.02.2001.
SP;Mihail Caimacov;;
SP;Ivan Čović;G;17.09.1990.
SP;Ivan Ganžulić;;
SP;Nemanja Glavčić;CV;19.02.1997.
SP;Bruno Goda;;
SP;Alen Grgić;;
SP;Nedim Hadžić;CV;19.03.1999.
SP;Törles Tim Knöll;CV;13.09.1997.
SP;Mateo Kocijan;CB;27.03.1995.
SP;Ivan Krstanović;CV;05.01.1983.
SP;Zoran Kvržić;;
SP;Marin Laušić;CDV;26.06.2001.
SP;Karlo Lulić;;
SP;Mario Marina;DV;03.08.1989.
SP;Antun Marković;G;04.07.1992.
SP;Mihael Mlinarić;DV;16.06.2000.
SP;Mateo Monjac;DB;20.06.1996.
SP;Goran Paracki;CV;21.01.1987.
SP;Vinko Soldo;CB;15.02.1998.
SP;Tomislav Srbljinović;V;27.12.1999.
SP;Ikouwem Udo Utin;;
SP;Damian van Bruggen;CB;18.03.1996.
SP;Hansel Orlando Zapata Zape;;
SP;Matko Zirdum;CB;21.06.1998.
SP;Lovro Zvonarek;CN;08.05.2005.
